van_ban,loai_heading,tieu_de,noi_dung
LuatBHXH2024.docx,luat - Điều 1. Phạm vi điều chỉnh,Điều 1. Phạm vi điều chỉnh,"Luật này quy định về quyền, trách nhiệm của cơ quan, tổ chức, cá nhân đối với bảo hiểm xã hội và tổ chức thực hiện bảo hiểm xã hội; trợ cấp hưu trí xã hội; đăng ký tham gia và quản lý thu, đóng bảo hiểm xã hội; các chế độ, chính sách bảo hiểm xã hội bắt buộc, bảo hiểm xã hội tự nguyện; quỹ bảo hiểm xã hội; bảo hiểm hưu trí bổ sung; khiếu nại, tố cáo và xử lý vi phạm về bảo hiểm xã hội; quản lý nhà nước về bảo hiểm xã hội."
LuatBHXH2024.docx,luat - Điều 2. Đối tượng tham gia bảo hiểm xã hội bắt buộc và bảo hiểm xã hội tự nguyện,Điều 2. Đối tượng tham gia bảo hiểm xã hội bắt buộc và bảo hiểm xã hội tự nguyện,"1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc bao gồm:
a) Người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động xác định thời hạn có thời hạn từ đủ 01 tháng trở lên, kể cả trường hợp người lao động và người sử dụng lao động thỏa thuận bằng tên gọi khác nhưng có nội dung thể hiện về việc làm có trả công, tiền lương và sự quản lý, điều hành, giám sát của một bên;
b) Cán bộ, công chức, viên chức;
c) Công nhân và viên chức quốc phòng, công nhân công an, người làm công tác khác trong tổ chức cơ yếu;
d) Sĩ quan, quân nhân chuyên nghiệp quân đội nhân dân; sĩ quan, hạ sĩ quan nghiệp vụ, sĩ quan, hạ sĩ quan chuyên môn kỹ thuật công an nhân dân; người làm công tác cơ yếu hưởng lương như đối với quân nhân;
đ) Hạ sĩ quan, binh sĩ quân đội nhân dân; hạ sĩ quan, chiến sĩ nghĩa vụ công an nhân dân; học viên quân đội, công an, cơ yếu đang theo học được hưởng sinh hoạt phí;
e) Dân quân thường trực;
g) Người lao động đi làm việc ở nước ngoài theo hợp đồng quy định tại Luật Người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng, trừ trường hợp điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác;
h) Vợ hoặc chồng không hưởng lương từ ngân sách nhà nước được cử đi công tác nhiệm kỳ cùng thành viên cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài được hưởng chế độ sinh hoạt phí;
i) Người quản lý doanh nghiệp, kiểm soát viên, người đại diện phần vốn nhà nước, người đại diện phần vốn của doanh nghiệp theo quy định của pháp luật; thành viên Hội đồng quản trị, Tổng giám đốc, Giám đốc, thành viên Ban kiểm soát hoặc kiểm soát viên và các chức danh quản lý khác được bầu của hợp tác xã, liên hiệp hợp tác xã theo quy định của Luật Hợp tác xã có hưởng tiền lương;
k) Người hoạt động không chuyên trách ở cấp xã, ở thôn, tổ dân phố;
l) Đối tượng quy định tại điểm a khoản này làm việc không trọn thời gian, có tiền lương trong tháng bằng hoặc cao hơn tiền lương làm căn cứ đóng bảo hiểm xã hội bắt buộc thấp nhất;
m) Chủ hộ kinh doanh của hộ kinh doanh có đăng ký kinh doanh tham gia theo quy định của Chính phủ;
n) Người quản lý doanh nghiệp, kiểm soát viên, người đại diện phần vốn nhà nước, người đại diện phần vốn của doanh nghiệp theo quy định của pháp luật; thành viên Hội đồng quản trị, Tổng giám đốc, Giám đốc, thành viên Ban kiểm soát hoặc kiểm soát viên và các chức danh quản lý khác được bầu của hợp tác xã, liên hiệp hợp tác xã theo quy định của Luật Hợp tác xã không hưởng tiền lương.
2. Người lao động là công dân nước ngoài làm việc tại Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc khi làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ đủ 12 tháng trở lên với người sử dụng lao động tại Việt Nam, trừ các trường hợp sau đây:
a) Di chuyển trong nội bộ doanh nghiệp theo quy định của pháp luật về người lao động nước ngoài làm việc tại Việt Nam;
b) Tại thời điểm giao kết hợp đồng lao động đã đủ tuổi nghỉ hưu theo quy định tại khoản 2"
LuatBHXH2024.docx,luat - Điều 169 của Bộ luật Lao động;,Điều 169 của Bộ luật Lao động;,"c) Điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác.
3. Người sử dụng lao động thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc bao gồm cơ quan nhà nước, đơn vị sự nghiệp công lập; cơ quan, đơn vị, doanh nghiệp thuộc Quân đội nhân dân, Công an nhân dân và tổ chức cơ yếu; tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội - nghề nghiệp, tổ chức xã hội khác; cơ quan, tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam; doanh nghiệp, tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã, hộ kinh doanh, tổ chức khác và cá nhân có thuê mướn, sử dụng lao động theo hợp đồng lao động.
4. Đối tượng tham gia bảo hiểm xã hội tự nguyện bao gồm:
a) Công dân Việt Nam từ đủ 15 tuổi trở lên không thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc và không phải là người đang hưởng lương hưu, trợ cấp bảo hiểm xã hội, trợ cấp hằng tháng;
b) Đối tượng quy định tại điểm a và điểm b khoản 1 Điều này đang tạm hoãn thực hiện hợp đồng lao động, hợp đồng làm việc, trừ trường hợp hai bên có thỏa thuận về việc đóng bảo hiểm xã hội bắt buộc trong thời gian này.
5. Người đồng thời thuộc nhiều đối tượng tham gia bảo hiểm xã hội bắt buộc khác nhau quy định tại khoản 1 Điều này thì việc tham gia bảo hiểm xã hội bắt buộc theo quy định như sau:
a) Đối tượng quy định tại điểm a và điểm l khoản 1 Điều này mà giao kết hợp đồng lao động với nhiều người sử dụng lao động thì tham gia bảo hiểm xã hội bắt buộc theo hợp đồng lao động giao kết đầu tiên.
Trường hợp hợp đồng lao động đang sử dụng làm căn cứ tham gia bảo hiểm xã hội bắt buộc đang tạm hoãn thực hiện hợp đồng mà hai bên không có thỏa thuận về việc đóng bảo hiểm xã hội bắt buộc trong thời gian tạm hoãn thì tham gia bảo hiểm xã hội bắt buộc theo thứ tự về thời gian có hiệu lực của hợp đồng được ký kết;
b) Đối tượng quy định tại điểm b và điểm i khoản 1 Điều này đồng thời cũng thuộc đối tượng quy định tại điểm a hoặc điểm l khoản 1 Điều này thì tham gia bảo hiểm xã hội bắt buộc theo đối tượng tương ứng quy định tại điểm b hoặc điểm i khoản 1 Điều này;
c) Đối tượng quy định tại điểm i và điểm n khoản 1 Điều này làm việc tại nhiều doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã thì tham gia bảo hiểm xã hội bắt buộc tại doanh nghiệp, hợp tác xã hoặc liên hiệp hợp tác xã đầu tiên tham gia quản lý, điều hành;
d) Đối tượng quy định tại điểm g và điểm k khoản 1 Điều này đồng thời thuộc đối tượng quy định tại một trong các điểm a, i và l khoản 1 Điều này thì tham gia bảo hiểm xã hội bắt buộc theo đối tượng tương ứng quy định tại điểm a, i hoặc l khoản 1 Điều này theo thứ tự đến trước;
đ) Đối tượng quy định tại điểm k khoản 1 Điều này đồng thời thuộc đối tượng quy định tại điểm m hoặc điểm n khoản 1 Điều này thì tham gia bảo hiểm xã hội bắt buộc theo đối tượng quy định tại điểm k khoản 1 Điều này;
e) Đối tượng quy định tại điểm m và điểm n khoản 1 Điều này đồng thời thuộc nhiều đối tượng quy định tại khoản 1 Điều này thì việc tham gia bảo hiểm xã hội bắt buộc theo quy định của Chính phủ;
g) Đối tượng quy định tại điểm e khoản 1 Điều này đồng thời thuộc đối tượng quy định tại điểm k hoặc điểm m khoản 1 Điều này thì tham gia bảo hiểm xã hội bắt buộc theo đối tượng quy định tại điểm e khoản 1 Điều này.
6. Ủy ban Thường vụ Quốc hội quyết định việc tham gia bảo hiểm xã hội bắt buộc đối với đối tượng khác ngoài đối tượng quy định tại khoản 1 Điều này mà có việc làm, thu nhập ổn định, thường xuyên trên cơ sở đề xuất của Chính phủ phù hợp với điều kiện phát triển kinh tế - xã hội từng thời kỳ.
7. Trường hợp không thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc bao gồm:
a) Người đang hưởng lương hưu, trợ cấp bảo hiểm xã hội, trợ cấp hằng tháng.
Chính phủ quy định đối tượng hưởng trợ cấp bảo hiểm xã hội, trợ cấp hằng tháng không thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc;
b) Lao động là người giúp việc gia đình;
c) Đối tượng quy định tại điểm m và điểm n khoản 1 Điều này đã đủ tuổi nghỉ hưu theo quy định tại khoản 2"
LuatBHXH2024.docx,luat - Điều 3. Giải thích từ ngữ,Điều 3. Giải thích từ ngữ,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau:
1. Bảo hiểm xã hội là sự bảo đảm thay thế hoặc bù đắp một phần thu nhập của người tham gia bảo hiểm xã hội khi họ bị giảm hoặc mất thu nhập do ốm đau, thai sản, tai nạn lao động, bệnh nghề nghiệp, khi nghỉ hưu hoặc chết, trên cơ sở đóng vào quỹ bảo hiểm xã hội hoặc do ngân sách nhà nước bảo đảm.
2. Trợ cấp hưu trí xã hội là loại hình bảo hiểm xã hội do ngân sách nhà nước bảo đảm cho người cao tuổi đủ điều kiện theo quy định của Luật này.
3. Bảo hiểm xã hội bắt buộc là loại hình bảo hiểm xã hội do Nhà nước tổ chức mà người lao động, người sử dụng lao động thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc phải tham gia.
4. Bảo hiểm xã hội tự nguyện là loại hình bảo hiểm xã hội do Nhà nước tổ chức mà công dân Việt Nam tự nguyện tham gia và được lựa chọn mức đóng, phương thức đóng phù hợp với thu nhập của mình.
5. Bảo hiểm hưu trí bổ sung là loại hình bảo hiểm mang tính chất tự nguyện theo nguyên tắc thị trường nhằm bổ sung cho chế độ hưu trí trong bảo hiểm xã hội bắt buộc, có cơ chế tạo lập quỹ từ đóng góp của người sử dụng lao động hoặc của người sử dụng lao động và người lao động.
6. Thời gian đóng bảo hiểm xã hội là tổng thời gian đã đóng bảo hiểm xã hội bắt buộc, bảo hiểm xã hội tự nguyện theo quy định của Luật này, trừ trường hợp điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định khác.
7. Thân nhân là con đẻ, con nuôi, vợ hoặc chồng, cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi, cha vợ hoặc cha chồng, mẹ vợ hoặc mẹ chồng của người tham gia bảo hiểm xã hội hoặc thành viên khác trong gia đình mà người tham gia bảo hiểm xã hội đang có nghĩa vụ nuôi dưỡng theo quy định của pháp luật về hôn nhân và gia đình.
8. Người thụ hưởng là đối tượng đủ điều kiện hưởng chế độ bảo hiểm xã hội theo quy định của Luật này.
9. Đăng ký tham gia bảo hiểm xã hội là việc người sử dụng lao động, người lao động nộp hồ sơ kê khai thông tin về người lao động, người sử dụng lao động, tiền lương, thu nhập làm căn cứ đóng bảo hiểm xã hội, phương thức đóng và các nội dung khác có liên quan theo quy định của pháp luật để tham gia bảo hiểm xã hội cho cơ quan bảo hiểm xã hội.
10. Giao dịch điện tử trong lĩnh vực bảo hiểm xã hội là giao dịch được thực hiện bằng phương tiện điện tử bao gồm đăng ký tham gia, cấp sổ bảo hiểm xã hội, đóng bảo hiểm xã hội; giải quyết, chi trả chế độ bảo hiểm xã hội và các hoạt động khác trong lĩnh vực bảo hiểm xã hội.
11. Cơ sở dữ liệu quốc gia về bảo hiểm là cơ sở dữ liệu dùng chung tập hợp thông tin về bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế được số hóa, chuẩn hóa, lưu trữ, quản lý bằng cơ sở hạ tầng thông tin để phục vụ quản lý nhà nước và giao dịch của cơ quan, tổ chức, cá nhân.
12. Bản sao các giấy tờ dùng để thực hiện bảo hiểm xã hội quy định tại Luật này là giấy tờ thuộc một trong các trường hợp sau đây:
a) Được cơ quan, tổ chức có thẩm quyền cấp từ sổ gốc;
b) Được cơ quan, tổ chức có thẩm quyền chứng thực từ bản chính;
c) Trường hợp khác do Chính phủ quy định."
LuatBHXH2024.docx,"luat - Điều 4. Loại hình, các chế độ bảo hiểm xã hội","Điều 4. Loại hình, các chế độ bảo hiểm xã hội","1. Trợ cấp hưu trí xã hội có các chế độ sau đây:
a) Trợ cấp hưu trí xã hội hằng tháng;
b) Hỗ trợ chi phí mai táng;
c) Hưởng bảo hiểm y tế do ngân sách nhà nước đóng.
2. Bảo hiểm xã hội bắt buộc có các chế độ sau đây:
a) Ốm đau;
b) Thai sản;
c) Hưu trí;
d) Tử tuất;
đ) Bảo hiểm tai nạn lao động, bệnh nghề nghiệp theo quy định của Luật An toàn, vệ sinh lao động.
3. Bảo hiểm xã hội tự nguyện có các chế độ sau đây:
a) Trợ cấp thai sản;
b) Hưu trí;
c) Tử tuất;
d) Bảo hiểm tai nạn lao động theo quy định của Luật An toàn, vệ sinh lao động.
4. Bảo hiểm thất nghiệp theo quy định của Luật Việc làm.
5. Bảo hiểm hưu trí bổ sung."
LuatBHXH2024.docx,luat - Điều 5. Nguyên tắc bảo hiểm xã hội,Điều 5. Nguyên tắc bảo hiểm xã hội,"1. Mức hưởng bảo hiểm xã hội bắt buộc và bảo hiểm xã hội tự nguyện được tính trên cơ sở mức đóng và thời gian đóng bảo hiểm xã hội; có chia sẻ giữa những người tham gia bảo hiểm xã hội theo quy định của Luật này.
2. Mức đóng bảo hiểm xã hội bắt buộc được tính trên cơ sở tiền lương làm căn cứ đóng bảo hiểm xã hội bắt buộc. Mức đóng bảo hiểm xã hội tự nguyện được tính trên cơ sở thu nhập làm căn cứ đóng bảo hiểm xã hội tự nguyện do người tham gia lựa chọn.
3. Người vừa có thời gian đóng bảo hiểm xã hội bắt buộc vừa có thời gian đóng bảo hiểm xã hội tự nguyện được hưởng chế độ trợ cấp hằng tháng, chế độ hưu trí và chế độ tử tuất trên cơ sở thời gian đã đóng bảo hiểm xã hội bắt buộc và bảo hiểm xã hội tự nguyện.
Thời gian đóng bảo hiểm xã hội đã được tính hưởng bảo hiểm xã hội một lần thì không được tính vào thời gian làm cơ sở tính hưởng chế độ bảo hiểm xã hội.
4. Quỹ bảo hiểm xã hội được quản lý tập trung, thống nhất, công khai, minh bạch; được sử dụng đúng mục đích và được hạch toán độc lập theo các quỹ thành phần, các nhóm đối tượng thực hiện chế độ tiền lương do Nhà nước quy định và chế độ tiền lương do người sử dụng lao động quyết định.
5. Việc thực hiện bảo hiểm xã hội phải đơn giản, dễ dàng, thuận tiện, bảo đảm kịp thời và đầy đủ quyền lợi của người tham gia, người thụ hưởng chế độ bảo hiểm xã hội.
6. Thời gian đóng bảo hiểm xã hội tối thiểu để xác định điều kiện hưởng lương hưu và trợ cấp tuất hằng tháng tính theo năm, một năm phải tính đủ 12 tháng. Trường hợp tính mức hưởng, thời gian đóng bảo hiểm xã hội có tháng lẻ từ 01 tháng đến 06 tháng được tính là nửa năm, từ 07 tháng đến 11 tháng được tính là một năm.
7. Việc giải quyết các chế độ bảo hiểm xã hội được xác định theo quy định của pháp luật về bảo hiểm xã hội tại thời điểm hưởng chế độ bảo hiểm xã hội."
LuatBHXH2024.docx,luat - Điều 6. Chính sách của Nhà nước đối với bảo hiểm xã hội,Điều 6. Chính sách của Nhà nước đối với bảo hiểm xã hội,"1. Xây dựng hệ thống bảo hiểm xã hội đa tầng bao gồm trợ cấp hưu trí xã hội, bảo hiểm xã hội bắt buộc và bảo hiểm xã hội tự nguyện, bảo hiểm hưu trí bổ sung để hướng tới bao phủ toàn dân theo lộ trình phù hợp với điều kiện phát triển kinh tế - xã hội.
2. Bảo đảm quyền, lợi ích hợp pháp của các tổ chức, cá nhân tham gia bảo hiểm xã hội; có chính sách hỗ trợ về tín dụng cho người lao động có thời gian đóng bảo hiểm xã hội mà bị mất việc làm.
3. Ngân sách nhà nước bảo đảm các chế độ của trợ cấp hưu trí xã hội và một số chế độ khác theo quy định của Luật này.
4. Bảo hộ, bảo toàn và tăng trưởng quỹ bảo hiểm xã hội.
5. Hỗ trợ người tham gia bảo hiểm xã hội tự nguyện.
6. Khuyến khích các địa phương tùy theo điều kiện kinh tế - xã hội, khả năng cân đối ngân sách, kết hợp huy động các nguồn lực xã hội hỗ trợ thêm tiền đóng bảo hiểm xã hội cho người tham gia bảo hiểm xã hội tự nguyện và hỗ trợ thêm cho người hưởng trợ cấp hưu trí xã hội.
7. Hoàn thiện pháp luật và chính sách về bảo hiểm xã hội; phát triển hệ thống tổ chức thực hiện bảo hiểm xã hội chuyên nghiệp, hiện đại, minh bạch và hiệu quả; ưu tiên đầu tư phát triển hạ tầng công nghệ thông tin đáp ứng yêu cầu chuyển đổi số, giao dịch điện tử và yêu cầu quản lý về bảo hiểm xã hội.
8. Khuyến khích tham gia bảo hiểm hưu trí bổ sung."
LuatBHXH2024.docx,luat - Điều 7. Mức tham chiếu,Điều 7. Mức tham chiếu,"1. Mức tham chiếu là mức tiền do Chính phủ quyết định dùng để tính mức đóng, mức hưởng một số chế độ bảo hiểm xã hội quy định trong Luật này.
2. Mức tham chiếu được điều chỉnh trên cơ sở mức tăng của chỉ số giá tiêu dùng, tăng trưởng kinh tế, phù hợp với khả năng của ngân sách nhà nước và quỹ bảo hiểm xã hội.
3. Chính phủ quy định chi tiết Điều này."
LuatBHXH2024.docx,luat - Điều 8. Hợp tác quốc tế về bảo hiểm xã hội,Điều 8. Hợp tác quốc tế về bảo hiểm xã hội,"1. Hợp tác quốc tế về bảo hiểm xã hội được thực hiện theo nguyên tắc các bên cùng có lợi, phù hợp với quy định của pháp luật quốc tế và pháp luật Việt Nam.
2. Khuyến khích hợp tác quốc tế trong việc tăng cường năng lực quản lý và tổ chức thực hiện bảo hiểm xã hội, phát triển hệ thống chính sách bảo hiểm xã hội linh hoạt, đa dạng, đa tầng, hiện đại, hội nhập quốc tế, hướng tới bao phủ toàn dân theo lộ trình phù hợp với điều kiện phát triển kinh tế - xã hội của đất nước, kết hợp hài hòa các nguyên tắc đóng - hưởng, công bằng, bình đẳng, chia sẻ và bền vững.
3. Thúc đẩy đàm phán, ký kết các điều ước quốc tế, thỏa thuận quốc tế về bảo hiểm xã hội để bảo đảm quyền lợi cho người lao động Việt Nam đi làm việc ở nước ngoài, người lao động nước ngoài đến làm việc tại Việt Nam.
4. Trường hợp điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định về thời gian tham gia bảo hiểm xã hội của người lao động ở Việt Nam và ở nước ngoài được tính để xét điều kiện hưởng chế độ bảo hiểm xã hội thì mức hưởng chế độ bảo hiểm xã hội ở Việt Nam được tính theo thời gian người lao động đã đóng bảo hiểm xã hội tại Việt Nam."
LuatBHXH2024.docx,luat - Điều 9. Các hành vi bị nghiêm cấm,Điều 9. Các hành vi bị nghiêm cấm,"1. Chậm đóng, trốn đóng bảo hiểm xã hội bắt buộc, bảo hiểm thất nghiệp.
2. Chiếm dụng tiền hưởng bảo hiểm xã hội, bảo hiểm thất nghiệp.
3. Cản trở, gây khó khăn hoặc làm thiệt hại đến quyền, lợi ích hợp pháp của đối tượng tham gia, thụ hưởng bảo hiểm xã hội, bảo hiểm thất nghiệp.
4. Gian lận, giả mạo hồ sơ trong việc thực hiện bảo hiểm xã hội, bảo hiểm thất nghiệp.
5. Sử dụng quỹ bảo hiểm xã hội, quỹ bảo hiểm thất nghiệp trái pháp luật.
6. Truy cập, khai thác, cung cấp cơ sở dữ liệu về bảo hiểm xã hội, bảo hiểm thất nghiệp trái pháp luật.
7. Đăng ký, báo cáo sai sự thật; cung cấp thông tin không chính xác về bảo hiểm xã hội, bảo hiểm thất nghiệp.
8. Thông đồng, móc nối, bao che, giúp sức cơ quan, tổ chức, cá nhân thực hiện hành vi vi phạm pháp luật về bảo hiểm xã hội, bảo hiểm thất nghiệp.
9. Cầm cố, mua bán, thế chấp, đặt cọc sổ bảo hiểm xã hội dưới mọi hình thức.
10. Hành vi khác theo quy định của luật.
Chương II
QUYỀN, TRÁCH NHIỆM CỦA CƠ QUAN, TỔ CHỨC, CÁ NHÂN VỀ BẢO HIỂM XÃ HỘI VÀ TỔ CHỨC THỰC HIỆN BẢO HIỂM XÃ HỘI
Mục 1. QUYỀN VÀ TRÁCH NHIỆM CỦA CƠ QUAN, TỔ CHỨC, CÁ NHÂN VỀ BẢO HIỂM XÃ HỘI"
